Lexème,Chapitre,Glose française,Note
Ἀβραάμ,1,Abraham,
Δαυίδ,1,David,
Ἡρῴδης,1,Hérode,
Ἰάκωβος,1,Jacques,
Ἰησοῦς,1,"Jésus, Josué",
Ἰούδας,1,"Judah, Judas",
Ἰσραήλ,1,Israël,
Ἰωάνης (Ἰωάννης),1,Jean,
Ἰωσήφ,1,Joseph,
Παῦλος,1,Paul,
Πέτρος,1,Pierre,
Πιλᾶτος,1,Pilate,
Σίμων,1,Simon,
Φίλιππος,1,Philippe,
Χριστός,1,"Christ, Messie",
"ἄγγελος, -ου, ὁ",2,"messager, ange",
"ἄνθρωπος, -ου, ὁ",2,"humain, personne, homme",
"ἀπόστολος, -ου, ὁ",2,apôtre,
"αὐτός, -ή, -ό",2,il; fém. elle,
"δοῦλος, -ου, ὁ",2,esclave,
ἐγώ,2,je,
εἶ,2,tu es,
εἰμί,2,être; je suis,
ἐστίν,2,il/elle est,
"Μωϋσῆς, -έως, ὁ",2,Moïse,
"οὐ, οὐκ, οὐχ",2,"non, ne... pas",
σύ,2,tu,
"Φαρισαῖος, -ου, ὁ",2,pharisien,
"ἀδελφός, -οῦ, ὁ",3,frère,
αὐτοί,3,ils,
"διδάσκαλος, -ου, ὁ",3,"enseignant, professeur, maître",
εἰσίν,3,ils/elles sont,
ἐσμέν,3,nous sommes,
ἐστέ,3,vous êtes,
ἡμεῖς,3,nous,
"θεός, -οῦ, ὁ",3,"dieu, Dieu",
καί,3,"et, aussi, même, mais",
"κύριος, -ου, ὁ",3,"seigneur, maître",
"λόγος, -ου, ὁ",3,"mot, parole, discours",
"ὁ, ἡ, τό",3,le; fém. la; pl. les,
"υἱός, -οῦ, ὁ",3,"fils, descendant",
ὑμεῖς,3,vous,
"ἀγάπη, -ης, ἡ",4,amour,
"ἀλήθεια, -ας, ἡ",4,vérité,
"ἀρνίον, -ου, τό",4,"agneau, mouton",
"ἀρχή, -ῆς, ἡ",4,"début, commencement",
"γυνή, -αικός, ἡ",4,"femme, épouse; pl. γυναῖκες",
"δαιμόνιον, -ου, τό",4,démon,
"ζωή, -ῆς, ἡ",4,vie,
"μήτηρ, μητρός, ἡ",4,mère; pl. μητέρες,
"πατήρ, πατρός, ὁ",4,"père, ancêtre; pl. πατέρες",
"τέκνον, -ου, τό",4,enfant,
ἐκεῖ,5,"là, là-bas",
θαυμάζω,5,"s'étonner, admirer",
καθίζω,5,"s’asseoir, faire asseoir",
κλαίω,5,pleurer,La racine de κλαίω est *κλαϝ. Dans certains autres temps (ex. l'aoriste) le radical est κλαυ.
κράζω,5,"crier, s'écrier",La vraie racine de κράζω est *κραγ.
πάσχω,5,souffrir (2e aoriste ἔπαθον),
περισσεύω,5,abonder; être de reste,
πιστεύω,5,"croire en, avoir foi en, faire confiance",
ὑπάρχω,5,"être, exister",
ὧδε,5,ici,
βαπτίζω,6,"immerger, baptiser",
βλέπω,6,"voir, regarder",
διώκω,6,"poursuivre, chasser, persécuter",
θεραπεύω,6,"soigner, guérir",
λύω,6,"délier, détacher, détruire",
με,6,me (l'accusatif de ἐγώ; aussi ἐμέ),
πείθω,6,"persuader, convaincre",
πέμπω,6,envoyer,
σε,6,te (l'accusatif de σύ),
σῴζω,6,sauver,
ἀγοράζω,7,acheter,
ἀκούω,7,"entendre, écouter, obéir",
"βιβλίον, -ου, τό",7,"rouleau, livre, document",
δοξάζω,7,glorifier,
εὑρίσκω,7,"trouver, découvrir (2e aoriste εὗρον)",
"θηρίον, -ου, τό",7,"animal, bête",
"μνημεῖον, -ου, τό",7,"tombe, monument",
"παιδίον, -ου, τό",7,(jeune) enfant,
"πρόβατον, -ου, τό",7,mouton,
"φωνή, -ης, ἡ",7,"son, voix",
"ἄρτος, -ου, ὁ",8,"pain, miche de pain",
ἐσθίω,8,manger (2e aoriste ἔφαγον),
ἑτοιμάζω,8,préparer,
"ἱερόν, -οῦ, τό",8,temple,
καθαρίζω,8,"purifier, nettoyer",
"καρπός, -οῦ, ὁ",8,fruit,
λέγω,8,"dire, parler (2e aoriste εἶπον)",
"οἰκία, -ας, ἡ",8,"maison, maisonée",
"πλοῖον, -ου, τό",8,"bateau, barque",
φυλάσσω,8,"garder, surveiller, protéger",
"ἀγαθός, -ή, -όν",9,"bon, utile",
"ἅγιος, -ία, -ον",9,"saint, pur, sacré, consacré",
"ἄλλος, -η, -ο",9,"autre, un autre",
"καλός, -ή, -όν",9,"beau, bon",
καλῶς,9,bien,
νῦν,9,"maintenant, à présent",
"ὅμοιος, -οία, -οιον",9,"semblable, de même nature",
ὁμοίως,9,"de même, pareillement, de la même façon",
πάλιν,9,"de nouveau, encore",
ὡς,9,"comme, que, de sorte que, environ, quand, après",
"ἀπό (ἀπ', ἀφ')",10,"gén. de, depuis, d'auprès de, à partir de, à cause de",
"βασιλεία, -ας, ἡ",10,"royaume, règne",
"γῆ, -ῆς, ἡ",10,"terre, sol, pays, région",
εἰς,10,"acc. dans, vers",
ἐκ (ἐξ),10,"gén. de, hors de",
ἐν,10,"dat. dans, en, sur, parmi",
πρό,10,"gén. avant, devant",
πρός,10,"acc. à, vers, en direction de, auprès de",
σύν,10,dat. avec,
"τόπος, -ου, ὁ",10,"lieu, endroit, place",
"ἀγαπητός, -ή, -όν",11,"aimé, bienaimé",
ἀπολύω,11,"libérer, relâcher, renvoyer, divorcer",
δέ (δ'),11,"conj. postpos. mais, et, puis, or, alors","Le mot δέ est « postposé ». Comme certains autres conjonctions, il vient normalement en deuxième position dans la proposition, parfois en troisième position."
διδάσκω,11,"enseigner, instruire",
"δίκαιος, -αία, -ον",11,juste,
ἔτι,11,"encore, toujours, jusqu'à maintenant",
μή,11,"non, ne... pas","La négation μή a plus ou moins le même sens que οὐ, mais s'utilise normalement avec les verbes non indicatifs (ex. impératif, infinitif, participe, subjonctif)."
οὐκέτι,11,"ne... plus, plus (du tout)",
πειράζω,11,"tenter, essayer, tester, mettre à l'épreuve",
"ποτήριον, -ου, τό",11,coupe,
"καρδία, -ας, ἡ",12,cœur,
"κεφαλή, -ῆς, ἡ",12,tête,
"κόσμος, ου, ὁ",12,"monde, univers",
"λαός, -οῦ, ὁ",12,"peuple, nation",
"ὄχλος, -ου, ὁ",12,foule,
"πρόσωπον, -ου, τό",12,"face, visage",
"Ἰουδαῖος, -αία, -αῖον",13,juif,
"νεκρός, -ά, -όν",13,mort,
"ὅλος, -η, -ον",13,"tout, entier","L'adjectif ὅλος, -η, -ον ne suit pas normalement les constructions normales de l'adjectif attributif, car on le voit souvent sans article, même quand le nom qu'il modifie est défini (ex. εἰς ὅλην τὴν γῆν « dans toute la terre » ou ἡ πόλις ὅλη « toute la ville »)."
οὕτως,13,"ainsi, de cette façon, de même",
πάντοτε,13,toujours,
τότε,13,"alors, à ce temps, à cette époque",
αἰτέω,14,demander,
ζητέω,14,chercher,
καλέω,14,"appeler, inviter","À l'aoriste, καλέω a la forme ἐκάλεσα (sans l'allongement de la voyelle), et non ἐκαλήσα."
λαλέω,14,"parler, dire, adresser",
περιπατέω,14,"marcher, se promener",
ποιέω,14,"faire, agir",
τηρέω,14,"garder, conserver",
φωνέω,14,"parler haut, crier, appeler",
δεῖ,15,"il faut, il convient, il est nécessaire",
δέω,15,"lier, attacher",
δοκέω,15,"penser, sembler, paraitre (bon)",
ἔξεστιν,15,il est permis,
θέλω,15,"vouloir, désirer",
κατοικέω,15,habiter,
μέλλω,15,"être sur le point de, avoir l'intention de",
"μόνος, -η, -ον",15,"seul, unique; neut. comme adv. seulement",
"οἶκος, -ου, ὁ",15,"maison, maisonnée",
προσκυνέω,15,"compl. au dat. se prosterner, adorer",
διά,16,"gén. à travers, par, au moyen de; acc. à cause de, grâce à",
διακονέω,16,servir,
εὐλογέω,16,bénir,
εὐχαριστέω,16,"remercier, rendre grâce",
κατά,16,"gén. vers le bas, contre; acc. selon",
κρατέω,16,"saisir, tenir fermement, arrêter",
μαρτυρέω,16,témoigner,
μετά,16,gén. avec; acc. après,
περί,16,"gén. à propos de; acc. autour de, approximativement",
ὑπό,16,"gén. par; acc. sous, dessous",
ἄν,17,(particule sans traduction introduisant une nuance dubitative ou conditionnelle),
ἐάν,17,si; (parfois à la place de ἄν et sans traduction),εἰ + ἄν.
εἰ,17,si,
ἕως,17,"jusqu'à, tant que",
ἵνα,17,"que, pour que, afin que",
κἀγώ,17,et je,καί + ἐγώ.
ὅταν,17,"quand, n'importe quand, à tout moment",ὅτε + ἄν.
ὅτε,17,"quand, lorsque, alors que",
"ὄνομα, -ατος, τό",18,"nom, réputation",
"πνεῦμα, -ατος, τό",18,"souffle, vent, esprit",
"σάρξ, σαρκός, ἡ",18,"chair, viande",
"σῶμα, -ατος, τό",18,corps,
"ὕδωρ, -ατος, τό",18,eau,
"χάρις, -ιτος, ἡ",18,"grâce, faveur",
"βασιλεύς, -έως, ὁ",19,roi,
"γραμματεύς, -έως, ὁ",19,scribe,
"ἔθνος, -ους, τό",19,"nation, peuple; pl. non-juifs, gentils",
"ὄρος, -ους, τό",19,"mont, montagne",
"πίστις, -εως, ἡ",19,"foi, confiance, fidélité",
"πόλις, -εως, ἡ",19,"ville, cité",
δύο,20,deux,
δώδεκα,20,douze,δύο + δέκα (2 + 10).
"εἷς, μία, ἕν",20,un,
ἑπτά,20,sept,
"μέγας, μεγάλη, μέγα",20,"grand, gros, fort",
"πᾶς, πᾶσα, πᾶν",20,sg. chaque; pl. tout,
πέντε,20,cinq,
"πολύς, πολλή, πολύ",20,"nombreux, plusieurs, beaucoup",
"τέσσαρες, τέσσαρα",20,quatre,
"τρεῖς, τρία",20,trois,
"αἰών, -ῶνος, ὁ",21,"ère, période, temps long, éternité",
"ἀνάστασις, -εως, ἡ",21,résurrection,
ἐνώπιον,21,"gén. devant, en présence de",
ἐπί,21,"gén. sur, par-dessus, quand; dat. à, sur, sur la base de; acc. sur, à, contre",
"κρίσις, -εως, ἡ",21,"jugement, décision",
"μέλος, -ους, τό",21,"membre, partie du corps",
"μηδείς, μηδεμία, μηδέν",21,"aucun, personne, rien",
"οὐδείς, οὐδεμία, οὐδέν",21,"aucun, personne, rien",
"τέλος, -ους, τό",21,"but, fin",
